sku,checked_at,candidate_url,outcome,identity_evidence,rejection_reason,next_action
MSH-EXP-011,2026-08-31T11:13:15+04:00,https://www.meesho.com/womens-blue-cotton-printed-straight-kurta-pant-set/p/h8050m,Rejected,Search result metadata only,Live page returns 410 Gone; no source image can be verified,Do not reuse; continue exact garment search
MSH-EXP-011,2026-08-31T11:13:15+04:00,https://www.meesho.com/womens-printed-pure-cotton-kurta-pant-set/p/bexfi5,Rejected,Live listing inspected,Three-piece set includes aqua dupatta and white pants; stored garment is a two-piece sky-blue matching set,Do not attach to Product 11
MSH-EXP-011,2026-08-31T11:13:15+04:00,https://www.meesho.com/womens-blue-printed-kurti-with-white-trouser-set-ethnic-cotton-kurta-pant-set-for-women-straight-kurti-set-daily-office-wear-kurta-set/p/eyr64i,Rejected,Search result and live metadata inspected,White trousers conflict with the stored matching sky-blue pants,Do not attach to Product 11
MSH-EXP-012,2026-08-31T11:20:19+04:00,https://www.meesho.com/ledies-stylish-fancy-trendy-printed-poly-georgette-maxi-flared-gown-for-women/p/ahtaja,Rejected,Search metadata matched several text attributes,Live page returns 410 Gone; source imagery and current commercial data cannot be verified,Do not reuse; continue exact garment search
MSH-EXP-012,2026-08-31T11:20:19+04:00,https://www.meesho.com/womens-maroon-kalamkari-printed-polycotton-anarkali-gown-with-fox-georgette-dupatta/p/au6ydy,Rejected,Live page and source image inspected in Chrome,White-base multicolour short Kalamkari dress with leggings conflicts with the floor-length maroon gown; fabric is polycotton rather than poly georgette,Do not attach to Product 12
MSH-EXP-012,2026-08-31T11:20:19+04:00,https://www.meesho.com/maroon-floral-printed-anarkali-gown-with-dupatta-for-women-maroon/p/emwdeu,Rejected,Search metadata only,Live page returns 410 Gone; current identity and commercial data cannot be verified,Do not reuse; continue exact garment search
MSH-EXP-012,2026-08-31T11:20:19+04:00,https://www.meesho.com/fancy-printed-round-neck-maxi-gown-with-dupatta-for-women-dress-under-500-gown-under-500/p/f9vl3t,Rejected,Verified Product 17 source and both stored image sets compared,White line-art print and source-faithful Product 17 silhouette conflict with Product 12's rust botanical print,Keep canonical only for MSH-EXP-017
MSH-EXP-013,2026-08-31T11:47:05+04:00,https://www.meesho.com/trendy-navy-blue-checkered-maxi-dress-with-collar-full-sleeves-flared-long-dress-for-women/p/a3rrs6,Rejected,Live page inspected in Chrome and indexed metadata reviewed,Product is out of stock with no live imagery; indexed fabric is crepe and colour is navy rather than the stored green/navy check,Do not attach; continue exact garment search
MSH-EXP-013,2026-08-31T11:47:05+04:00,https://www.meesho.com/navy-blue-checkered-a-line-long-kurti-for-women-stylish-western-look-with-34-sleeves-flared-fit-flare-cotton-kurta-dress/p/6axpxa,Rejected,Live search metadata inspected,Only XXXL–7XL are listed and the garment is navy crepe with a round neck rather than the stored shirt-collar green/navy dress,Do not attach to Product 13
MSH-EXP-013,2026-08-31T11:47:05+04:00,https://www.meesho.com/trendy-women-a-line-checkered-sleeveless-green-maxi-dress/p/f0lis4,Rejected,Live listing metadata inspected,Sleeveless light-green/white gingham with shoulder straps conflicts with the dark green/navy collared three-quarter-sleeve dress,Do not attach to Product 13
MSH-EXP-014,2026-08-31T11:50:00+04:00,https://www.meesho.com/gereogette-sttiched-anarkali-gown-and-dupatta-black/p/8q322j,Rejected,Live page and source image inspected in Chrome,Large white floral embroidery covers the skirt and bodice; stored Product 14 has a plain flare with narrow vertical bodice sequins,Do not attach to Product 14
MSH-EXP-014,2026-08-31T11:50:00+04:00,https://www.meesho.com/black-georgette-anarkali-kurta-with-dupatta/p/eu3c8u,Rejected,Live page and source image inspected in Chrome,Square neckline with gold vine chest/waist embroidery and full sleeves conflicts with the stored round-neck subtle-sequin three-quarter-sleeve gown,Do not attach to Product 14
MSH-EXP-014,2026-08-31T11:50:00+04:00,https://www.meesho.com/sophisticated-black-flared-gown-with-heavy-sequined-dupatta-and-designer-sleeves/p/h6tnck,Rejected,Live page and source image inspected in Chrome,Heavy floral sequined dupatta and ornate sleeve cuffs conflict with the stored lightly dotted dupatta and plain sleeves,Do not attach to Product 14
MSH-EXP-015,2026-08-31T11:56:19+04:00,https://www.meesho.com/trending-womens-beautiful-wine-v-neck-long-kurta-pant-set-kurta-set-kurta-set-for-women-kurta-pant-set-kurta-pant-women/p/72cwv5,Rejected,Live page inspected in Chrome and indexed metadata reviewed,Live listing is out of stock and exposes no current source imagery or size-wise commercial evidence; indexed calf-length show-button design cannot prove the stored embellished knee-length A-line garment,Do not attach; continue exact garment search
MSH-EXP-015,2026-08-31T11:56:19+04:00,https://www.meesho.com/women-s-rayon-solid-kurta-and-pant-set-v-neck-and-3-4-sleeves-kurta-set-wine-color/p/79y4pe,Rejected,Live page inspected in Chrome and indexed metadata reviewed,Live listing is out of stock and exposes no current source imagery or availability evidence,Do not attach; continue exact garment search
MSH-EXP-015,2026-08-31T11:56:19+04:00,https://www.meesho.com/women-wine-maroon-rayon-printed-kurta-pant-set/p/c9y3cy,Rejected,Current indexed product metadata reviewed,Floral printed kurta and matching printed pants conflict with the stored solid maroon set with only subtle neckline and bodice embellishment,Do not attach to Product 15
MSH-EXP-015,2026-08-31T11:56:19+04:00,https://www.meesho.com/girls-rayon-solid-kurta-palazzo-set-girls-stylish-kurti-set-kurti-set-for-girls-trending-kurti-with-palazzo/p/buxefy,Rejected,Current indexed product metadata reviewed,Contrast printed neckline and palazzo hem plus straight-fit styling conflict with the stored clean A-line top and plain wide-leg pants,Do not attach to Product 15
MSH-EXP-015,2026-08-31T11:56:19+04:00,https://www.meesho.com/rayon-kurti-pant-set-womens-premium-rayon-chikankari-kurta-set-v-neck-mirror-work-kurta-with-embroidered-34-sleeves-pocket-pant-maroon-wine-black-navy-blue/p/8dauwf,Rejected,Current indexed product metadata reviewed,Listing reports purple colour straight fit long sleeves and pocket pants; these conflict with the stored maroon A-line three-quarter-sleeve wide-leg set,Do not attach to Product 15
MSH-ETH-001,2026-08-31T12:08:00+04:00,https://www.meesho.com/women-cotton-printed-round-neck-straight-kurti-black-straight-kurta-for-women-kurti-for-women-single-kurti-for-women-kurta-for-jeans-women-kurta-kurta-under-299-kurti-daily-wear-kurta-ajrakh-print-kurti/p/89ulhd,Accepted,Live page metadata and source image inspected in Chrome; yoke medallion trim four tassels motif repeat sleeves and silhouette exactly match the stored six-image set,,Promoted to canonical approved record with source-listed S–6XL pricing
MSH-ETH-002,2026-08-31T13:34:02+04:00,https://www.meesho.com/aline-straight-embroidered-kurta-for-women/p/a7gmg0,Rejected,Live page metadata and primary source image inspected in Chrome,Round neckline with scattered dot motifs and narrow side embroidery conflicts with the stored notched neckline and large silver U-shaped embroidered yoke,Do not attach; continue exact garment search
MSH-ETH-002,2026-08-31T13:34:02+04:00,https://www.meesho.com/straight-embroidered-kurta-for-women/p/h5f9r3,Rejected,Live page metadata and primary source image inspected in Chrome,V-neck multicolour diamond-shaped embroidery and pendant motif conflict with the stored silver U-shaped neckline embroidery,Do not attach; continue exact garment search
MSH-ETH-002,2026-08-31T13:34:02+04:00,https://www.meesho.com/straight-embroidered-kurta-for-women/p/530a1x,Rejected,Indexed live metadata reviewed; direct Chrome request returned Access Denied,Not enough current source-image evidence to establish an exact garment match,Do not attach; retry only if live imagery becomes inspectable
MSH-SET-003,2026-08-31T13:38:17+04:00,https://www.meesho.com/peach-saliv-whit-plazo-set/p/6cirzw,Rejected,Current indexed metadata reviewed; direct Chrome request returned Access Denied,Text attributes overlap but the listing reports a round neck and only M–XXL while the stored garment has a squared neckline and the legacy record claims XXS–5XL; source imagery and current size pricing were not inspectable,Do not attach; retry only if live imagery and current commercial evidence become inspectable
MSH-SET-003,2026-08-31T13:38:17+04:00,https://www.meesho.com/dachima-fashion-womans-rayon-printed-kurta-with-plazzo/p/6m0jzn,Rejected,Current indexed metadata reviewed; direct Chrome request returned Access Denied,Listing reports a round neck show-button ornamentation and a straight silhouette that conflict with the stored square-neck clean-front A-line garment,Do not attach to Product 3
MSH-SET-003,2026-08-31T13:38:17+04:00,https://www.meesho.com/printed-kurta-palazzo-set/p/2l6q47,Rejected,Current indexed metadata reviewed; direct Chrome request returned Access Denied,Size range and peach-rayon-white-palazzo terms overlap but indexed data reports a round neck and inconsistent multicolour dupatta field; exact imagery and current size-wise pricing could not be verified,Do not attach; continue exact garment search
MSH-SET-003,2026-08-31T19:12:54+04:00,https://www.meesho.com/printed-kurta-palazzo-set/p/2l6q47,Accepted,Live gallery confirms the exact square-neck sleeveless peach motif kurta and white palazzos; every inspected S–XXL selector remains ₹275,,Promote S–XXL only; monitor source metadata conflicts and live commercial changes daily
